optimizer,trial,state,value,peak_val_acc,final_test_acc,params
neuralgrok,9,PRUNED,,,,"{""lr"": 0.0008565293722924722, ""neural_alpha"": 19.28355624289931, ""neural_beta"": 5.4565442999850955, ""neural_grad_clip"": 2.402513106315949, ""weight_decay"": 0.4419155679144035}"
neuralgrok,10,PRUNED,,,,"{""lr"": 0.00038538796825530206, ""neural_alpha"": 3.7909330949992865, ""neural_beta"": 5.883894714500133, ""neural_grad_clip"": 0.5626183175333517, ""weight_decay"": 0.7393249364983644}"
neuralgrok,11,FAIL,,,,"{""lr"": 0.00023294115464066322, ""neural_alpha"": 2.168548686512839, ""neural_beta"": 9.888884656504395, ""neural_grad_clip"": 0.8415257398134928, ""weight_decay"": 1.4415813587535569}"
neuralgrok,12,FAIL,,,,"{""lr"": 0.004112522890946545}"
neuralgrok,13,PRUNED,,,,"{""lr"": 0.00023294115464066322, ""neural_alpha"": 2.168548686512839, ""neural_beta"": 9.888884656504395, ""neural_grad_clip"": 0.8415257398134928, ""weight_decay"": 1.4415813587535569}"
neuralgrok,14,PRUNED,,,,"{""lr"": 0.004112522890946545, ""neural_alpha"": 15.48989657977212, ""neural_beta"": 3.250095890434296, ""neural_grad_clip"": 2.873878437459018, ""weight_decay"": 0.5941640332860916}"
neuralgrok,15,PRUNED,,,,"{""lr"": 0.0002818900814064055, ""neural_alpha"": 15.998656839942761, ""neural_beta"": 8.772864673926689, ""neural_grad_clip"": 1.714565637452284, ""weight_decay"": 0.42566944398127476}"
neuralgrok,16,PRUNED,,,,"{""lr"": 0.001569778017799027, ""neural_alpha"": 8.918176880587009, ""neural_beta"": 7.336872168486141, ""neural_grad_clip"": 1.2024443812267185, ""weight_decay"": 0.3826898199773542}"
neuralgrok,17,PRUNED,,,,"{""lr"": 0.0004495487204920208, ""neural_alpha"": 2.7835359707625296, ""neural_beta"": 8.39068973475215, ""neural_grad_clip"": 1.4339916674213276, ""weight_decay"": 0.23524242120550895}"
neuralgrok,18,PRUNED,,,,"{""lr"": 0.0009547706794192181, ""neural_alpha"": 4.010835696057199, ""neural_beta"": 5.4296706687688765, ""neural_grad_clip"": 2.251838470806949, ""weight_decay"": 1.0238579612747432}"
neuralgrok,19,PRUNED,,,,"{""lr"": 0.004995096114739049, ""neural_alpha"": 3.8110987668405576, ""neural_beta"": 2.6897190680567746, ""neural_grad_clip"": 1.518506521073596, ""weight_decay"": 0.29671250159908513}"
neuralgrok,20,PRUNED,,,,"{""lr"": 0.0036359662746181477, ""neural_alpha"": 2.942573469709438, ""neural_beta"": 3.9103056133981395, ""neural_grad_clip"": 1.5549962903147887, ""weight_decay"": 0.6814647261730591}"
neuralgrok,21,PRUNED,,,,"{""lr"": 0.00021788130479875173, ""neural_alpha"": 13.784728822286423, ""neural_beta"": 4.285238045425673, ""neural_grad_clip"": 1.308998512792697, ""weight_decay"": 0.2664018411202209}"
neuralgrok,22,PRUNED,,,,"{""lr"": 0.0011564228250660201, ""neural_alpha"": 5.098552866312939, ""neural_beta"": 9.992861430357255, ""neural_grad_clip"": 2.3509583219091637, ""weight_decay"": 0.6115987530965529}"
grokadamw,0,PRUNED,,,,"{""lr"": 0.00031411538064722306, ""grokadamw_alpha"": 0.9691359747232555, ""grokadamw_lamb"": 6.4768575612846515, ""grokadamw_grad_clip"": 1.6763853445887404, ""grokadamw_gamma"": 0.07058708922358299, ""grokadamw_kappa"": 0.03319690422037746, ""weight_decay"": 0.4760625343399019}"
grokadamw,1,FAIL,,,,"{""lr"": 0.003872639391054715}"
grokadamw,2,PRUNED,,,,"{""lr"": 0.0008565293722924722, ""grokadamw_alpha"": 0.9828435339822048, ""grokadamw_lamb"": 2.2039568856103418, ""grokadamw_grad_clip"": 2.402513106315949, ""grokadamw_gamma"": 0.14702894417579118, ""grokadamw_kappa"": 0.56754648483511, ""weight_decay"": 0.3485566777926781}"
grokadamw,3,PRUNED,,,,"{""lr"": 0.00038538796825530206, ""grokadamw_alpha"": 0.9233773493973088, ""grokadamw_lamb"": 2.5408580052041816, ""grokadamw_grad_clip"": 0.5626183175333517, ""grokadamw_gamma"": 0.2294852334086619, ""grokadamw_kappa"": 0.3161941318535102, ""weight_decay"": 1.6771559080664342}"
grokadamw,4,PRUNED,,,,"{""lr"": 0.002688712893605852, ""grokadamw_alpha"": 0.9115341902609735, ""grokadamw_lamb"": 4.123502434049792, ""grokadamw_grad_clip"": 1.8088471287364318, ""grokadamw_gamma"": 0.09569600481874373, ""grokadamw_kappa"": 0.6560019918302046, ""weight_decay"": 1.5993849069001902}"
grokadamw,5,PRUNED,,,,"{""lr"": 0.003872639391054715, ""grokadamw_alpha"": 0.9574773385364053, ""grokadamw_lamb"": 9.404118311596118, ""grokadamw_grad_clip"": 2.3630209373618687, ""grokadamw_gamma"": 0.45791732482414516, ""grokadamw_kappa"": 0.15684089950050847, ""weight_decay"": 2.8595742457794175}"
grokadamw,6,PRUNED,,,,"{""lr"": 0.0011576160601673156, ""grokadamw_alpha"": 0.9170146661881889, ""grokadamw_lamb"": 6.436649677002274, ""grokadamw_grad_clip"": 0.9505585269837273, ""grokadamw_gamma"": 0.30257602405937306, ""grokadamw_kappa"": 0.0320791556841368, ""weight_decay"": 1.053682357835631}"
grokadamw,7,PRUNED,,,,"{""lr"": 0.0008565293722924722, ""grokadamw_alpha"": 0.9828435339822048, ""grokadamw_lamb"": 2.2039568856103418, ""grokadamw_grad_clip"": 2.402513106315949, ""grokadamw_gamma"": 0.14702894417579118, ""grokadamw_kappa"": 0.56754648483511, ""weight_decay"": 0.3485566777926781}"
grokadamw,8,PRUNED,,,,"{""lr"": 0.00038538796825530206, ""grokadamw_alpha"": 0.9233773493973088, ""grokadamw_lamb"": 2.5408580052041816, ""grokadamw_grad_clip"": 0.5626183175333517, ""grokadamw_gamma"": 0.2294852334086619, ""grokadamw_kappa"": 0.3161941318535102, ""weight_decay"": 1.6771559080664342}"
grokadamw,9,PRUNED,,,,"{""lr"": 0.004112522890946545, ""grokadamw_alpha"": 0.9748350377134369, ""grokadamw_lamb"": 1.0574050131632364, ""grokadamw_grad_clip"": 2.873878437459018, ""grokadamw_gamma"": 0.19446227615746228, ""grokadamw_kappa"": 0.05876332180191102, ""weight_decay"": 2.8694087209164203}"
grokadamw,10,PRUNED,,,,"{""lr"": 0.00023294115464066322, ""grokadamw_alpha"": 0.9029579158317494, ""grokadamw_lamb"": 9.63689860272555, ""grokadamw_grad_clip"": 0.8415257398134928, ""grokadamw_gamma"": 0.3364787892509809, ""grokadamw_kappa"": 0.03278349154573471, ""weight_decay"": 0.5426235336835079}"
grokadamw,11,PRUNED,,,,"{""lr"": 0.0011576160601673156, ""grokadamw_alpha"": 0.9170146661881889, ""grokadamw_lamb"": 6.436649677002274, ""grokadamw_grad_clip"": 0.9505585269837273, ""grokadamw_gamma"": 0.30257602405937306, ""grokadamw_kappa"": 0.0320791556841368, ""weight_decay"": 1.053682357835631}"
grokadamw,12,PRUNED,,,,"{""lr"": 0.0008565293722924722, ""grokadamw_alpha"": 0.9828435339822048, ""grokadamw_lamb"": 2.2039568856103418, ""grokadamw_grad_clip"": 2.402513106315949, ""grokadamw_gamma"": 0.14702894417579118, ""grokadamw_kappa"": 0.56754648483511, ""weight_decay"": 0.3485566777926781}"
grokadamw,13,PRUNED,,,,"{""lr"": 0.0003553430717139705, ""grokadamw_alpha"": 0.9801201725119099, ""grokadamw_lamb"": 7.008538093658143, ""grokadamw_grad_clip"": 2.0287413544967756, ""grokadamw_gamma"": 0.04398519507307376, ""grokadamw_kappa"": 0.07638148797717206, ""weight_decay"": 0.48073733512490957}"
grokadamw,14,PRUNED,,,,"{""lr"": 0.0004015985528585157, ""grokadamw_alpha"": 0.9345755695647303, ""grokadamw_lamb"": 2.8173926513060605, ""grokadamw_grad_clip"": 1.4853165826694275, ""grokadamw_gamma"": 0.07357990911073872, ""grokadamw_kappa"": 0.049100078864338086, ""weight_decay"": 0.5090580763617782}"
grokadamw,15,PRUNED,,,,"{""lr"": 0.0005271716234106472, ""grokadamw_alpha"": 0.9875933022359533, ""grokadamw_lamb"": 1.9696905610939457, ""grokadamw_grad_clip"": 1.025011520118893, ""grokadamw_gamma"": 0.14986427482752712, ""grokadamw_kappa"": 0.0298414321424975, ""weight_decay"": 0.6625900485047701}"
grokadamw,16,PRUNED,,,,"{""lr"": 0.0002494831580232671, ""grokadamw_alpha"": 0.9668088400132951, ""grokadamw_lamb"": 3.459651707474842, ""grokadamw_grad_clip"": 2.5598363778246385, ""grokadamw_gamma"": 0.2799449512810653, ""grokadamw_kappa"": 0.060629366109458405, ""weight_decay"": 0.9174639824995158}"
grokadamw,17,PRUNED,,,,"{""lr"": 0.0009996365391819824, ""grokadamw_alpha"": 0.9664568693597364, ""grokadamw_lamb"": 0.6476932379077479, ""grokadamw_grad_clip"": 2.3419407027238868, ""grokadamw_gamma"": 0.15348126519173388, ""grokadamw_kappa"": 0.12222174920908885, ""weight_decay"": 0.22097186916786285}"
grokadamw,18,PRUNED,,,,"{""lr"": 0.00030079875103802275, ""grokadamw_alpha"": 0.9704660084484192, ""grokadamw_lamb"": 8.24440817975955, ""grokadamw_grad_clip"": 1.7460622745211367, ""grokadamw_gamma"": 0.23723982748273936, ""grokadamw_kappa"": 0.026297755764102433, ""weight_decay"": 1.8638777891693274}"
